dataset,num_hubs,num_bridges,default_nodes,default_edges,processed_nodes,processed_edges,delta_nodes,delta_edges,default_diameter,default_avg_diameter,processed_diameter,processed_avg_diameter,delta_diameter,delta_avg_diameter,default_max_degree,default_avg_degree,processed_max_degree,processed_avg_degree,delta_max_degree,delta_avg_degree,default_density,processed_density,delta_density,default_node2edge_ratio,processed_node2edge_ratio,delta_node2edge_ratio,processed_hubs_bridges_ratio,normalized_hubs_bridges_ratio
ctu-mooney,0,67,68,134,68,134,0,0,2,1.94,2,1.94,0,0.0,134,3.94,134,3.94,0,0.0,0.03,0.03,0.0,0.51,0.51,0.0,,0.0
ctu-movielens,0,3,7,6,7,6,0,0,4,1.96,4,1.96,0,0.0,3,1.71,3,1.71,0,0.0,0.14,0.14,0.0,1.17,1.17,0.0,,0.0
ctu-musklarge,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-musksmall,0,0,2,1,2,1,0,0,1,0.5,1,0.5,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.5,0.0,2.0,2.0,0.0,,0.0
ctu-mutagenesis,0,1,3,3,3,3,0,0,2,0.89,2,0.89,0,0.0,3,2.0,3,2.0,0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,,0.0
ctu-ncaa,4,2,9,17,5,17,-4,0,4,1.58,3,1.28,-1,-0.3,11,3.78,19,6.8,8,3.02,0.24,0.85,0.61,0.53,0.29,-0.24,1.0,0.44
ctu-northwind,1,4,13,13,13,16,0,3,7,3.15,7,2.92,0,-0.22,4,2.0,6,2.46,2,0.46,0.08,0.1,0.02,1.0,0.81,-0.19,,0.08
ctu-pima,0,0,9,8,9,8,0,0,2,1.58,2,1.58,0,0.0,8,1.78,8,1.78,0,0.0,0.11,0.11,0.0,1.12,1.12,0.0,,0.0
ctu-premiereleague,1,1,4,5,3,5,-1,0,2,1.0,1,0.67,-1,-0.33,3,2.5,4,3.33,1,0.83,0.42,0.83,0.42,0.8,0.6,-0.2,1.0,0.25
ctu-restbase,0,1,3,3,3,3,0,0,1,0.67,1,0.67,0,0.0,2,2.0,2,2.0,0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,,0.0
ctu-sakila,2,7,16,22,15,25,-1,3,7,2.83,7,2.68,0,-0.15,5,2.93,8,3.57,3,0.64,0.09,0.12,0.03,0.73,0.6,-0.13,2.0,0.12
ctu-sales,1,0,4,3,3,3,-1,0,2,1.12,1,0.67,-1,-0.46,3,1.5,2,2.0,-1,0.5,0.25,0.5,0.25,1.33,1.0,-0.33,1.0,0.25
ctu-samegen,0,3,4,6,4,6,0,0,2,1.12,2,1.12,0,0.0,6,3.0,6,3.0,0,0.0,0.5,0.5,0.0,0.67,0.67,0.0,,0.0
